developer,year,items_qty,free_qty
+7 Software,2016,1,0
"+Mpact Games, LLC.",2017,1,0
.M.Y.W.,2016,1,0
.ez Games,2017,1,0
07th Expansion,2015,2,0
07th Expansion,2016,3,0
07th Expansion,2017,3,0
08 Games,2016,1,0
100 Plus Games llc,2017,1,0
100 Stones Interactive,2016,1,0
100 Stones Interactive,2017,3,0
10101 Software,2016,1,0
10ft Games,2017,1,0
10kbit Games,2017,4,0
10ravens s.r.o.,2017,1,0
"10th Art Studio,Adventure Productions",2014,1,0
10tons Ltd,2012,1,0
10tons Ltd,2014,2,0
10tons Ltd,2015,3,0
10tons Ltd,2016,4,0
10tons Ltd,2017,4,0
10x10 Room,2017,2,0
11 bit studios,2011,1,0
11 bit studios,2013,4,0
11 bit studios,2014,2,0
11 bit studios,2015,1,0
11 bit studios,2016,1,0
12 East Games,2017,1,0
12 Hit Combo,2016,1,0
1337 &amp; Senri AB,2015,1,0
13AM Games,2016,4,0
14 Dimension Enterprise,2017,1,0
14 Hours Productions,2017,2,1
14Dimension Enterprise,2015,1,0
14Dimension Enterprise,2016,1,0
14° East,2001,1,0
16 Swans,2017,1,0
16bit Nights,2016,2,0
17-BIT,2013,1,0
17-BIT,2015,1,0
17Studio,2016,1,0
1888 Games,2016,1,0
1C Company,2004,1,0
1C Company,2007,1,0
1C Company,2008,2,0
1C Company,2009,4,0
1C Company,2010,3,0
1C Company,2011,2,0
"1C Game Studios,777 Studios",2016,3,0
1C Wireless,2014,2,0
1C Wireless,2015,1,0
1C-Avalon,2011,1,0
1C-SoftClub,2012,2,0
1C-SoftClub,2014,1,0
1C: Maddox Games,2006,1,0
1C: Maddox Games,2011,1,0
1C:InoCo,2009,5,0
1C:InoCo,2010,1,0
1C:InoCo,2011,3,0
1CC Games,2016,2,0
2 Monkeys,2016,1,0
2 Zombie Games,2017,2,0
2 players,2016,1,0
2-Volt Games,2017,1,1
2015,2004,1,0
2020 Venture,2016,1,0
20letpast,2017,1,0
22cans,2016,1,0
22cans,2017,1,0
24 Caret Games,2013,1,0
251 Games,2014,1,0
26k,2017,1,0
29Palms Scenery Design,2016,1,0
"29Palms,JaraNet",2017,1,0
2Awesome Studio,2017,1,0
2B_GAMES,2016,1,0
2Beats,2017,1,0
2Bit Studios,2016,1,0
"2Chance Projects,IIchan Eroge Team",2015,1,1
"2Chance Projects,IIchan Eroge Team,DjSM",2017,1,0
2D BOY,2008,1,0
"2D Heroes,Ursa Games",2016,1,0
"2D Heroes,Ursa Games",2017,1,0
2DArray,2013,1,0
2DEngine,2011,1,0
2DEngine,2015,1,0
2DEngine.com,2008,1,0
2DHD,2016,1,0
2Dog Games,2017,1,0
"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",2014,1,0
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014,1,0
"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2014,1,0
"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2015,1,0
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2014,1,0
"2K Boston,2K Australia",2007,1,0
"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)",2016,1,0
2K Czech,2010,4,0
"2K Czech,Feral Interactive (Mac)",2010,3,0
"2K Czech,Feral Interactive (Mac)",2011,1,0
2K Marin,2013,4,0
