user_id,total_items,total_spent,total_recom
--000--,58,402.77,1
--ace--,44,184.61,2
--ionex--,23,118.82,2
-2SV-vuLB-Kg,68,446.39,5
-404PageNotFound-,149,1541.0,0
-AnimeIsMyThing-,127,1243.91,0
-Azsael-,167,2479.47,1
-Beave-,47,81.64,1
-Encore-,24,287.78,0
-GM-Dragon,106,875.85,2
-I_AM_EPIC-,20,138.84,1
-JT,26,229.86,0
-Kenny,118,1580.91,1
-KillZone-,114,1234.18,0
-Mad-,367,3697.97,2
-Naughty-,62,482.75,0
-PRoSlayeR-,529,2638.2,2
-SEVEN-,394,3676.63,9
-SatansLittleHelper-,28,323.78,1
-Thyme-,43,519.68,1
-Ultrix,131,1476.58,1
-Uplink-,123,1525.07,0
-Zovix-,51,233.77,1
-_PussyDestroyer_-,51,387.37,5
-_skIzZ_-,40,383.71,0
-fastrvrs-,18,195.89,0
-iBubble,15,136.78,0
-kainey9777,69,1045.32,1
-xKyox-,49,195.85,0
0-3-0,139,1648.84,2
00000000000000000001227,93,1081.18,6
00000003010,59,349.49,0
0000FF,25,144.91,0
000Infinity000,30,109.97,0
001000111000111000010,71,762.3,1
001002130882,3,14.99,0
001010001,48,343.6,0
0041287,34,162.71,0
00454211432342,24,155.67,2
005577,231,2952.94,0
00690069006900,102,819.14,1
0071945,373,4988.59,0
007james_bond,178,2137.5,0
007thesilence,49,596.67,0
00810cccyyykkk,7,19.98,1
008port,71,427.57,0
0099654321891111,23,188.86,1
00True,28,311.76,2
00nana,9,29.98,0
01001000-01101001,88,1347.11,4
010195345,2,0.0,0
0102705195,3,0.0,0
010607,28,247.49,0
011000100001000111,76,869.1,0
011011010111001000101110,26,101.88,1
011111135489484797,5,29.98,2
01120477677,29,251.67,0
0112937783,31,443.7,0
01189958889189157253,159,1887.53,6
0118999881999119,139,1323.84,0
01221733,125,616.98,2
0136849195,62,151.7,1
01398279857934,11,14.99,0
018302,42,516.57,0
01shan,5,24.98,1
0212030,7,104.95,0
022899,80,1163.38,3
0248359,10,223.88,0
025652,3,0.0,0
0271975108,62,694.67,0
