user_id,total_items,total_spent
--000--,58,402.77
--ace--,44,184.61
--ionex--,23,118.82
-2SV-vuLB-Kg,68,446.39
-404PageNotFound-,149,1541.0
-AnimeIsMyThing-,127,1243.91
-Azsael-,167,2479.47
-Beave-,47,81.64
-Encore-,24,287.78
-GM-Dragon,106,875.85
-I_AM_EPIC-,20,138.84
-JT,26,229.86
-Kenny,118,1580.91
-KillZone-,114,1234.18
-Mad-,367,3697.97
-Naughty-,62,482.75
-PRoSlayeR-,529,2638.2
-SEVEN-,394,3676.63
-SatansLittleHelper-,28,323.78
-Thyme-,43,519.68
-Ultrix,131,1476.58
-Uplink-,123,1525.07
-Zovix-,51,233.77
-_PussyDestroyer_-,51,387.37
-_skIzZ_-,40,383.71
-fastrvrs-,18,195.89
-iBubble,15,136.78
-kainey9777,69,1045.32
-xKyox-,49,195.85
0-3-0,139,1648.84
00000000000000000001227,93,1081.18
00000003010,59,349.49
0000FF,25,144.91
000Infinity000,30,109.97
001000111000111000010,71,762.3
001002130882,3,14.99
001010001,48,343.6
0041287,34,162.71
00454211432342,24,155.67
005577,231,2952.94
00690069006900,102,819.14
0071945,373,4988.59
007james_bond,178,2137.5
007thesilence,49,596.67
00810cccyyykkk,7,19.98
008port,71,427.57
0099654321891111,23,188.86
00True,28,311.76
00nana,9,29.98
01001000-01101001,88,1347.11
010195345,2,0.0
0102705195,3,0.0
010607,28,247.49
011000100001000111,76,869.1
011011010111001000101110,26,101.88
011111135489484797,5,29.98
01120477677,29,251.67
0112937783,31,443.7
01189958889189157253,159,1887.53
0118999881999119,139,1323.84
01221733,125,616.98
0136849195,62,151.7
01398279857934,11,14.99
018302,42,516.57
01shan,5,24.98
0212030,7,104.95
022899,80,1163.38
0248359,10,223.88
025652,3,0.0
0271975108,62,694.67
0305089,97,614.24
03092002,24,273.68
03375616256,2,9.99
0402593613,6,19.98
04061993,214,1037.09
04092013,128,639.87
041112016,98,1388.16
0412734634,20,68.86
0412827540,27,149.9
042153100,118,1556.11
0421874858,31,369.48
04280122,113,1265.15
0432-026-no,14,79.93
04536829290339393838,28,148.68
0468313256,86,126.57
0488456,22,267.65
05041129,35,147.79
05461025,53,560.59
05511301,159,1591.62
05zhehan,16,89.95
066600,72,468.8
0700464574757,48,392.62
07846813956825,92,1165.21
0814551,48,185.78
0827777,11,0.99
0854029092,5,28.89
0862770364,23,157.82
0896398616,184,1195.86
0898786879898,7,69.96
08alross,313,4196.23
0903512455,41,208.75
09106,176,1247.66
091263,369,3169.77
092982943,28,94.93
0935659130,59,489.54
094553552,89,703.44
095732,30,179.86
095843067,239,2723.36
098765432108642,12,179.91
09876543231,25,215.83
098766catdogbnmnnn,42,227.84
09895749373554,33,354.64
0996633,56,615.59
0FI3MWAJS2849023N,36,336.77
0fficiaIfIaw,23,38.97
0nlyb0nes,22,224.91
0rangeZ3r0,29,143.88
0x0B00B135,59,523.4
0x426F,149,1742.72
1-800-Invisible,536,5873.67
10000000thVisitor,106,1114.08
1000000sdsd,22,59.96
100011101011,31,347.84
1000jaus,50,651.54
1001101001110101,286,3421.39
100355,50,533.56
10051997,130,1263.06
10101010101010109,307,3786.86
101010101111,42,391.7
101010102,8,79.83
1010102,45,250.54
101013483181348,7,14.99
1010231464,9,44.97
1011001,128,1237.06
1011010101101101010101,52,653.42
1011012001,14,49.96
101316,21,254.84
1016523030,6,8.9
101676057,29,279.76
10197226,36,285.63
101thegreenguy,98,1286.49
102547508,13,33.88
102598615,45,166.85
1032165460,7,64.95
1052218979baidu,21,242.86
10817,38,339.79
109284293753647,150,1842.9
10936543792,109,1056.03
10948278193,31,96.65
109leonidas,178,1859.65
10Degree,150,1358.63
10gp,21,169.89
10outof10matee,56,613.52
10oyard,20,209.88
11010011011,140,1617.99
1101167413,42,542.55
110211021,73,506.41
110321565469,76,831.88
1103703132946,65,736.44
111190869,62,830.24
111222333222111,28,279.82
111222333444555666888,52,607.37
11123xxx3122,10,59.95
11124,44,463.49
11141995,47,580.47
111s,242,2321.8
111zerosen,65,428.42
1122305938,177,2430.33
112asdasfasdasd,23,0.0
11345678,34,252.85
113595,76,1082.19
1136579070,82,686.59
11464789,37,306.78
11567jj,102,502.33
1163321,56,370.71
117007,15,129.92
117331,67,364.53
117a2,11,119.93
117arbiter,166,1674.38
11925219096,70,736.5
119922883377446655123456789,60,277.71
11XGX,215,2714.2
12021988,3,0.0
120445,120,962.46
120488700,21,282.71
12110604,16,194.89
1212343456567878909,33,358.61
12123871234989120,33,156.78
12125,126,1369.95
